ISO,Energy,Units,Month,Year,Generation
ISO-NE,Nonhydro renewables,billion kilowatthours,July,2011,0.53
ISO-NE,other energy sources,billion kilowatthours,July,2011,0.21
NYISO,Natural gas,billion kilowatthours,July,2011,6.77
NYISO,Coal,billion kilowatthours,July,2011,1.19
NYISO,Nuclear,billion kilowatthours,July,2011,3.83
NYISO,Conventional hydropower,billion kilowatthours,July,2011,2.42
NYISO,Nonhydro renewables,billion kilowatthours,July,2011,0.31
NYISO,other energy sources,billion kilowatthours,July,2011,0.27
PJM,Natural gas,billion kilowatthours,July,2011,14.07
PJM,Coal,billion kilowatthours,July,2011,44.44
PJM,Nuclear,billion kilowatthours,July,2011,24.32
PJM,Conventional hydropower,billion kilowatthours,July,2011,0.38
PJM,Nonhydro renewables,billion kilowatthours,July,2011,0.85
PJM,other energy sources,billion kilowatthours,July,2011,0.43
SERC,Natural gas,billion kilowatthours,July,2011,14.32
SERC,Coal,billion kilowatthours,July,2011,34.7
SERC,Nuclear,billion kilowatthours,July,2011,17.62
SERC,Conventional hydropower,billion kilowatthours,July,2011,1.78
SERC,Nonhydro renewables,billion kilowatthours,July,2011,0.2
SERC,other energy sources,billion kilowatthours,July,2011,-0.24
FRCC,Natural gas,billion kilowatthours,July,2011,12.88
FRCC,Coal,billion kilowatthours,July,2011,4.79
FRCC,Nuclear,billion kilowatthours,July,2011,2.33
FRCC,Conventional hydropower,billion kilowatthours,July,2011,0.01
FRCC,Nonhydro renewables,billion kilowatthours,July,2011,0.23
FRCC,other energy sources,billion kilowatthours,July,2011,0.46
MISO,Natural gas,billion kilowatthours,July,2011,13.76
MISO,Coal,billion kilowatthours,July,2011,40.99
MISO,Nuclear,billion kilowatthours,July,2011,9.73
MISO,Conventional hydropower,billion kilowatthours,July,2011,0.73
MISO,Nonhydro renewables,billion kilowatthours,July,2011,1.61
MISO,other energy sources,billion kilowatthours,July,2011,0.78
SPP,Natural gas,billion kilowatthours,July,2011,9.83
SPP,Coal,billion kilowatthours,July,2011,16.87
SPP,Nuclear,billion kilowatthours,July,2011,1.34
SPP,Conventional hydropower,billion kilowatthours,July,2011,1.54
SPP,Nonhydro renewables,billion kilowatthours,July,2011,1.03
SPP,other energy sources,billion kilowatthours,July,2011,0.1
ERCOT,Natural gas,billion kilowatthours,July,2011,17.49
ERCOT,Coal,billion kilowatthours,July,2011,12.45
ERCOT,Nuclear,billion kilowatthours,July,2011,3.46
ERCOT,Conventional hydropower,billion kilowatthours,July,2011,0.07
ERCOT,Nonhydro renewables,billion kilowatthours,July,2011,1.95
ERCOT,other energy sources,billion kilowatthours,July,2011,0.25
Northwest and Rockies,Natural gas,billion kilowatthours,July,2011,4.5
Northwest and Rockies,Coal,billion kilowatthours,July,2011,11.01
Northwest and Rockies,Nuclear,billion kilowatthours,July,2011,0
Northwest and Rockies,Conventional hydropower,billion kilowatthours,July,2011,17.57
Northwest and Rockies,Nonhydro renewables,billion kilowatthours,July,2011,2
Northwest and Rockies,other energy sources,billion kilowatthours,July,2011,0.04
Southwest,Natural gas,billion kilowatthours,July,2011,4.16
Southwest,Coal,billion kilowatthours,July,2011,6.2
Southwest,Nuclear,billion kilowatthours,July,2011,2.93
Southwest,Conventional hydropower,billion kilowatthours,July,2011,1.29
Southwest,Nonhydro renewables,billion kilowatthours,July,2011,0.46
Southwest,other energy sources,billion kilowatthours,July,2011,0.04
CAISO,Natural gas,billion kilowatthours,July,2011,6.91
CAISO,Coal,billion kilowatthours,July,2011,1.38
CAISO,Nuclear,billion kilowatthours,July,2011,3.37
CAISO,Conventional hydropower,billion kilowatthours,July,2011,4.91
CAISO,Nonhydro renewables,billion kilowatthours,July,2011,2.18
